Stream,Reflex path length (mm),Mean reflex latency (ms),Voluntary path length (mm),Mean voluntary latency (ms)
P1,1486,37.3,2770,162.2
P1,1690,36,3110,119
P1,1600,31.6,2940,190
P1,1480,36.9,3780,169.1
P1,1440,32,2980,186
P1,1300,48,3000,210
P1,1500,41.2,3240,168.3
P1,1400,23,2640,140
P1,1520,27.1,2800,130
P1,1500,37,2800,127
P1,1540,29,3080,162
P1,1640,38.3,2660,150.4
P1,1720,40.3,3080,194.7
P1,1480,40.3,2920,154.6
P1,1420,38,2880,124
P1,1540,38.2,2700,159.4
P1,1520,51,3040,214
P1,1200,47.3,2740,123.6
P1,1520,38.5,2960,149
P1,1600,35.3,2880,189.1
P1,1520,38.6,2840,190.6
P1,1360,34.5,2930,152.1
P1,1300,31,2800,184
P2,1850,40,3100,176
P2,1350,28,2780,170
P2,1580,35,3160,185
P2,1380,37,2540,167
P2,1560,28,2760,179
P2,1480,45,2880,197
P2,1440,37.9,2880,205
P2,1680,40,2920,186.4
P2,1600,40,2900,160
P2,1320,21.5,2580,137.7
P2,1600,43.4,3100,147.3
P2,1560,36.22,2900,139.38
P2,1700,38.38,3300,129.06
P2,1474,36,2922,128
P2,1380,35.5,2800,150.5
P2,1370,35.6,2935,163.8
P2,1640,40.02,3040,175.62
P2,1600,29.4,2460,178.5
P2,1720,39.3,3180,223.9
P2,2030,24,2590,144.4
P2,1420,42.8,2740,154.5
P2,1760,33.3,2900,176.1
P2,1480,34.2,2800,188.4
P2,1680,44.2,3098,183.3
P2,1480,30,2800,149.2
P2,1400,38.9,2620,173.8
P2,1620,29.1,2920,135.6
P2,1600,46.8,3090,176.6
P2,1360,35.2,2760,169.1
P2,1760,40.5,3160,173
P2,1480,24,2840,156
P2,1340,29.5,2700,145
P2,1460,39.3,3000,137.1
P2,1660,30,3040,189
P2,1600,34,3000,166.5
P2,1380,38.8,2800,159.1
P2,1420,37.2,2900,143.5
P2,1460,36.03,2920,209.1
P2,1480,38.5,3000,176.08
P2,1520,39,2860,180
P2,1620,38.4,3180,207.4
P2,1560,37.5,2820,182.3
P2,1500,37,2820,184.2
P2,1580,52,3160,190
P2,1480,62,2880,200
P2,1820,35.6,2900,224.4
P2,1440,31.5,2860,253.2
P2,1220,36.75,2900,144.125
P2,1690,38.4,2900,141.9
P2,1440,37.4,2820,182
P2,1490,38,2700,184
P2,1560,28,2960,118
P2,1600,39,3220,197
P3,1440,29,3000,144
P3,1350,29,2930,155
P3,1260,32.5,2580,165.5
P3,1540,30,2920,174.3
P3,1280,40.1,2460,159.3
P3,1522,30.5,2680,146.6
P3,1380,27.5,2780,129
P3,1500,36.2,3160,154
P3,1450,37,2900,178.4
P3,1490,36,2944,166
P3,1680,40,2920,170
